Date,Close,Volume
19/01/2016,95.3,30998300
20/01/2016,94.3,59051400
21/01/2016,94.2,30518900
22/01/2016,97.9,30495400
25/01/2016,97.0,32482000
26/01/2016,97.3,26877100
27/01/2016,94.4,58699400
28/01/2016,109.1,107475300
29/01/2016,112.2,62739500
01/02/2016,115.1,46132700
02/02/2016,114.6,59778600
03/02/2016,112.7,56919300
04/02/2016,110.5,38890200
05/02/2016,104.1,76894700
08/02/2016,99.8,71229700
09/02/2016,99.5,62709000
10/02/2016,101.0,45179400
11/02/2016,101.9,43670600
12/02/2016,102.0,36176800
16/02/2016,101.6,45687200
17/02/2016,105.2,44073400
18/02/2016,103.5,29593500
19/02/2016,104.6,32404500
22/02/2016,107.2,35709700
23/02/2016,105.5,25319300
24/02/2016,106.9,34412400
25/02/2016,108.1,29906300
26/02/2016,107.9,26686200
29/02/2016,106.9,32779000
01/03/2016,109.8,26817300
02/03/2016,109.9,25670200
03/03/2016,109.6,21353100
04/03/2016,108.4,24938900
07/03/2016,105.7,31436400
08/03/2016,105.9,25617000
09/03/2016,107.5,20493300
10/03/2016,107.3,24854300
11/03/2016,109.4,20697600
14/03/2016,109.9,17249400
15/03/2016,110.7,17618500
16/03/2016,112.2,24744800
17/03/2016,111.0,24241200
18/03/2016,111.4,36256900
21/03/2016,111.8,18448000
22/03/2016,112.3,19001100
23/03/2016,112.5,18562000
24/03/2016,113.1,17839100
28/03/2016,113.7,21351800
29/03/2016,116.1,29825300
30/03/2016,114.7,33235200
31/03/2016,114.1,21207500
01/04/2016,116.1,24760500
04/04/2016,112.6,48487900
05/04/2016,112.2,22962400
06/04/2016,113.7,20814600
07/04/2016,113.6,20714500
08/04/2016,110.6,48497800
11/04/2016,109.0,39762300
12/04/2016,110.6,26248100
13/04/2016,110.5,88227400
14/04/2016,110.8,28473300
15/04/2016,109.6,20922800
18/04/2016,110.4,21167200
19/04/2016,112.3,30210500
20/04/2016,112.4,21027900
21/04/2016,113.4,20875200
22/04/2016,110.6,38458200
25/04/2016,110.1,21017900
26/04/2016,108.8,22521500
27/04/2016,108.9,52213100
28/04/2016,116.7,87110100
29/04/2016,117.6,37140600
02/05/2016,118.6,28095200
03/05/2016,117.4,24117500
04/05/2016,118.1,23448400
05/05/2016,117.8,22056700
06/05/2016,119.5,26395600
09/05/2016,119.2,21138100
10/05/2016,120.5,23220000
11/05/2016,119.5,22038400
12/05/2016,120.3,22035500
13/05/2016,119.8,18124300
16/05/2016,118.7,31247800
17/05/2016,117.3,21328600
18/05/2016,117.7,21642300
19/05/2016,116.8,20544100
20/05/2016,117.3,18944800
23/05/2016,116.0,20441000
24/05/2016,117.7,20183600
25/05/2016,117.9,20019800
26/05/2016,119.5,18481300
27/05/2016,119.4,13493600
31/05/2016,118.8,23547600
01/06/2016,118.8,15029500
02/06/2016,118.9,13228300
03/06/2016,118.5,14135100
06/06/2016,118.8,12744700
07/06/2016,117.8,17103000
08/06/2016,118.4,14505600
09/06/2016,118.6,13859200
10/06/2016,116.6,18510800
13/06/2016,113.9,31718200
14/06/2016,114.9,17618500
15/06/2016,114.6,19819400
16/06/2016,114.4,19236300
17/06/2016,113.0,24644300
20/06/2016,113.4,20785400
21/06/2016,114.4,19166300
22/06/2016,113.9,14846300
23/06/2016,115.1,16176900
24/06/2016,112.1,40643100
27/06/2016,109.0,36130400
28/06/2016,112.7,26813800
29/06/2016,114.2,20968300
30/06/2016,114.3,23192700
01/07/2016,114.2,14980000
05/07/2016,114.2,14207000
06/07/2016,116.7,24337600
07/07/2016,115.8,16630200
08/07/2016,117.2,18142600
11/07/2016,117.9,17711600
12/07/2016,117.9,15217700
13/07/2016,116.8,16207700
14/07/2016,117.3,14579700
15/07/2016,116.9,16646000
18/07/2016,119.4,20868400
19/07/2016,120.6,21541300
20/07/2016,121.9,20046500
21/07/2016,120.6,17801700
22/07/2016,121.0,18422400
25/07/2016,121.6,18487400
26/07/2016,121.2,17612000
27/07/2016,123.3,52654200
28/07/2016,125.0,78955800
29/07/2016,123.9,35058800
01/08/2016,124.3,25006900
02/08/2016,123.1,23968400
03/08/2016,122.5,18525300
04/08/2016,124.4,21066000
05/08/2016,125.2,20184000
08/08/2016,125.3,15233900
09/08/2016,125.1,19621000
10/08/2016,124.9,10670100
11/08/2016,124.9,11729500
12/08/2016,124.9,12159000
15/08/2016,123.9,19295100
16/08/2016,123.3,14222400
17/08/2016,124.4,13794200
18/08/2016,123.9,12400800
19/08/2016,123.6,11688300
22/08/2016,124.2,14386400
23/08/2016,124.4,13309500
24/08/2016,123.5,12243700
25/08/2016,123.9,10730800
